,budget,genres,id,imdb_id,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
1297,0.0,[],640686.0,tt11129378,Para,0.6,[],[],2018-12-22,0.0,2.0,Para,7.0,1.0
1298,20.0,[],639880.0,tt11129274,Pesto,0.6,[],[],2018-12-15,0.0,5.0,Pesto,7.0,1.0
1299,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",630911.0,,Young President and His Contract Wife,0.6,[],[],2018-06-19,0.0,83.0,Young President and His Contract Wife,7.0,1.0
1300,0.0,"[{'id': 10749, 'name': 'Romance'}]",630457.0,tt8421698,How to Say Goodbye,1.4,"[{'id': 71992, 'logo_path': None, 'name': 'Indie Rights', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-05-20,0.0,78.0,How to Say Goodbye,7.0,1.0
1301,0.0,"[{'id': 99, 'name': 'Documentary'}]",627795.0,tt8743078,IKEA for YU,0.6,"[{'id': 60850, 'logo_path': None, 'name': 'Hrvatski Filmski Savez (HFS)', 'origin_country': 'HR'}]",[],2018-08-15,0.0,52.0,IKEA for YU,7.0,1.0
1302,500.0,"[{'id': 18, 'name': 'Drama'}]",616273.0,tt8974826,Wreck and Bokken,0.84,"[{'id': 120871, 'logo_path': '/962B8yOBXBjSJRqt41hmqcsCU1V.png', 'name': 'Rose Red Door Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-03,0.0,13.0,Wreck and Bokken,7.0,1.0
1303,0.0,[],615324.0,tt9129976,HERO,0.6,[],[],2018-04-16,0.0,4.0,HERO,7.0,1.0
1304,0.0,[],614565.0,tt7984792,Nova: First Face of America,0.77,[],[],2018-02-07,0.0,53.0,Nova: First Face of America,7.0,2.0
1305,0.0,"[{'id': 99, 'name': 'Documentary'}]",613277.0,,Rudy Maxa's World: Hong Kong & Bangkok,0.6,"[{'id': 72120, 'logo_path': None, 'name': 'Questar Video', 'origin_country': ''}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'TH', 'name': 'Thailand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-08-19,0.0,75.0,Rudy Maxa's World: Hong Kong & Bangkok,7.0,1.0
1306,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",609687.0,tt7753112,Deliria,0.688,[],"[{'iso_3166_1': 'SE', 'name': 'Sweden'}]",2018-01-27,0.0,9.0,Deliria,7.0,1.0
1307,0.0,"[{'id': 27, 'name': 'Horror'}]",608260.0,tt5300736,Crepitus,1.882,"[{'id': 119508, 'logo_path': None, 'name': 'Ginger Knight Entertainment', 'origin_country': ''}]",[],2018-06-21,0.0,,Crepitus,7.0,1.0
1308,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",603744.0,tt9102910,Floreana,0.6,[],"[{'iso_3166_1': 'DK', 'name': 'Denmark'}]",2018-11-01,0.0,4.0,Floreana,7.0,1.0
1309,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",603131.0,tt7246018,Elliott's To Do List,0.664,"[{'id': 116116, 'logo_path': None, 'name': 'Dog in a Blanket Productions', 'origin_country': ''}]",[],2018-10-28,0.0,13.0,Elliott's To Do List,7.0,1.0
1310,46000.0,[],598623.0,,3:21:00,0.6,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-10-29,0.0,13.0,3:21:00,7.0,1.0
1311,0.0,"[{'id': 99, 'name': 'Documentary'}]",594053.0,tt8151756,Designing the World of Blade Runner 2049,0.981,[],[],2018-01-16,0.0,22.0,Designing the World of Blade Runner 2049,7.0,2.0
1312,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",591434.0,tt8439852,I Build Your House,0.6,[],[],2018-05-24,0.0,,I Build Your House,7.0,1.0
