,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
4076,0.6,0,False,/6IfnQK2NzmKXYiO5ORQfTZW6T3D.jpg,621677,False,,en,All Skinfolk Ain't Kinfolk,[99],All Skinfolk Ain't Kinfolk,0.0,"After a contentious race last fall, the runoff for mayor of New Orleans came down to two candidates: Desirée Charbonnet and LaToya Cantrell, two very different black women. The winner of this election would take office as the first female mayor of New Orleans and the city's fourth black mayor. Through news footage, campaign advertisements and archival audio and video, All Skinfolk Ain't Kinfolk is the unprecedented story of this mayoral runoff told through the eyes of black women living in this city.",2018-11-14
4077,0.6,0,False,/56DXpYV8l4UPArpUl8zf45USCQT.jpg,621676,False,,en,Anglerfisch,"[16, 10751]",Anglerfisch,0.0,The little anglerfish has to go to bed. But the deep waters are full of threatening creatures.,2018-01-16
4078,0.6,0,False,,621673,False,,en,"Where’s the Butter, Betty",[16],"Where’s the Butter, Betty",0.0,Short film about the search for butter.,2018-01-01
4079,0.6,0,False,/2nHQ6yusBpS8DzgY5e1lPzxiXSM.jpg,621653,False,,en,Schaf,"[16, 10751]",Sheep,0.0,The sheep jumps in from risky adventure to another. The flock would never take such risk!,2018-10-24
4080,0.6,0,False,/xWk85rhEFpama2uYoz7lN24h1db.jpg,621647,False,,en,Giraffe,"[16, 10751]",Giraffe,0.0,"The little giraffe wants some leaves from the trees, but she can't reach and the big giraffes won't share.",2018-11-22
4081,0.6,0,False,/h5hwyCggUqyIdZqKJ4X0JcJH9QY.jpg,621526,False,/ev8hP6W7Exj1YHuv0DMf0v9bUf8.jpg,en,jany robiać z hary piramidu,[10402],jany robiać z hary piramidu,0.0,a visualization of a poem telling a story of making a piramid out of a mountain,2018-07-22
4082,0.6,0,False,/scasM0UlgIb4VBacEVhbGxPmrhb.jpg,621347,False,/2u1Air8PIwHh35e3wacXFTrbOFi.jpg,en,Life Is But a Dream,[99],Life Is But a Dream,0.0,"To escape from the dictates of contemporary capitalist society, an ultra-Orthodox American Jew moves with his family to a small illegal Israeli outpost in the Occupied Palestinian Territories, joining – for advantage and convenience – a ""human avant-garde"" that is an essential tool for the development and operation of the colonial mechanism. In this context of expropriation, Gedalia feels free to build his home and to try to fulfil his dream: a simple life, in harmony with God, outside the laws and duties of society. Life is but a dream is the story of the daily life of a settler's family, between contradictions, radical choices, difficulties, needs, and possible fears.",2018-11-09
4083,1.002,0,False,/j7F4DsNQpUpENvzK33FjB75Aala.jpg,621315,False,,en,The Remarkable Life of John Weld,[99],The Remarkable Life of John Weld,0.0,"The true life story of John Weld, who went from stuntman during Hollywood's golden era, to journalist, novelist and many other careers.",2018-10-09
4084,0.679,0,False,/j2WiGanu4ywP7Yg5T4PQpq5AXmh.jpg,621184,False,/pve1rmizPdN3poFQhfihkjNDQik.jpg,en,Open House,[18],Open House,0.0,"Fearing the loss of his authority and job, a lonely emasculated high school custodian targets the new part-time employee: a poor refugee student.",2018-09-30
4085,0.6,0,False,/t6zXKFWYMeExWf2NOepJimw73dt.jpg,621027,False,,en,Free To Love,[99],Free To Love,0.0,"Does sexuality change? How and why? Free to Love is a documentary that delves into the lives of four men in their search for sexual authenticity. In a world that promotes sexual freedom, except when it comes to those seeking to leave homosexuality, this eye-opening film explores the cultural, political, and personal contradictions that present obstacles to an overlooked segment of the population. It’s a story of conflict, individuality, hope, and freedom.",2018-08-15
4086,0.6,0,False,,620985,False,,en,Meeting Uncle Yuji,[],Meeting Uncle Yuji,0.0,The director meets his uncle Yuji for first time in NY in 2015 after Yuji left Tokyo to play salsa in Spanish Harlem in the late 70’s. The film presents mixed emotions of initial admiration and the realisation of what it means to live as an artist through a lifetime.,2018-05-23
4087,0.6,0,False,/hB1REgl260FZ70tdvhogGqH2g04.jpg,620820,False,,en,求求你爱上我,[18],Sasha,0.0,"Zhao Shasha, the daughter of the town hotel, is a billiard genius. The grassroots male Liu Hongyang, who fled to follow the technical school graduation, went to Beijing. By chance, he got the favor of the billiard agent Abu, and opened the journey of professional billiard players. In the process, her relationship with Abu was frustrated, and her ugly Liu Hongyang was always with her. When the billiard goddess met her love, she would choose the quiet grassroots man who was silently waiting, or the sun-loving Gao Fushuai?",2018-08-20
4088,0.669,0,False,,620720,False,,en,Girls Will Be,[],Girls Will Be,0.0,"What we present to the world is a carefully curated version of reality. Girls Will Be is a powerful visual meditation on this topic, exploring the all too au courant themes of image obsession, social pressure, and shame. This ""anti-fashion"" fashion film eschews traditional narrative structure, instead presenting viewers with a dreamy tableau that viscerally juxtaposes the ""perfect"" images rampant on social media with the grotesque reality that often lurks beneath these lovely facades. In Girls Will Be, viewers get an uncomfortably firsthand close-up of the loss of innocence of a teen girl as her desire to be accepted by peers—and by extension society— makes her vulnerable to their perversely warped value system.",2018-01-01
4089,0.6,0,False,/iW8kUhp1EhxpFglHgCMTorsbbq.jpg,620668,False,,en,UxÅ – A Journey to the heart of the Umeå hardcore Scene,[99],UxÅ – A Journey to the heart of the Umeå hardcore Scene,0.0,"The Swedish city of Umeå is 1 hardcore band for every 500 souls. It’s also a hotspot for vegan activism, mosh pit action, straight edge culture and kids in shambles. UxÅ, A journey to the heart of the Umeå Hardcore scene tells the story of the explosion of this massive counter-culture in Northern Sweden.  Childhood friends and passionate about the different punk scenes, Gianni Manno, Romain Massé and Théophile Pillault present a historical documentary that reaches out to the pioneers of the movement and uncover a dynamic, free, instinctive and unique culture.",2018-06-03
4090,0.6,0,False,,620665,False,,en,Tótem 9/11,[],Tótem 9/11,0.0,Destruction of the digital image.,2018-07-05
4091,0.6,0,False,,620560,False,,en,Secret Music,"[99, 10402]",Secret Music,0.0,Documentary portrait of gay American composer David Del Tredici.,2018-06-13
4092,0.678,0,False,,620513,False,/hulHVti3H8ZLxVYDG6iJtEghhar.jpg,en,The Session,"[35, 53]",The Session,0.0,A man awakes ready to be tortured,2018-09-15
4093,0.6,0,False,/wovDG3oABiuiNl9sdBZ0ScFyHiG.jpg,620422,False,,en,For the Love of Mary,[18],For the Love of Mary,0.0,"The first time 97-year-old runner George Etzweiler completed the race up the northeast’s tallest peak, Mount Washington, he was 69 years old. Despite having a pacemaker, the State College, Pennsylvania resident continues to compete in the grueling 7.6-mile race up nearly 4,700 feet of paved road, breaking his own record each year for oldest finisher. In addition to his ancient, lucky, green running shorts, Etzweiler carries something else special with him: The memory of his late wife of 68 years, Mary.",2018-06-05
4094,0.6,0,False,,620280,False,,en,The Wake,[],The Wake,0.0,Tina’s world is breaking up. The answers lie elsewhere. In a bid to restore order she embarks on a journey where past and present collide.,2018-04-22
4095,0.671,0,False,/bFz9YinzijVUESfKSB0wPEGULpN.jpg,620132,False,,en,The Last Reformation: The Life,[99],The Last Reformation: The Life,0.0,"The Life is the sequel to ""The Last Reformation: The Beginning"" that has inspired many people around the world.",2018-03-31
4096,0.6,0,False,/4HgJvstUDm32xH4BJhdveSsO7xP.jpg,619999,False,/p1IdoEHur7SLNvJZcd5Rzy70wa5.jpg,en,Bitter Rivals: Iran and Saudi Arabia,"[99, 10770]",Bitter Rivals: Iran and Saudi Arabia,0.0,"Bitter Rivals illuminates the essential history - and profound ripple effect - of Iran and Saudi Arabia's power struggle. It draws on scores of interviews with political, religious and military leaders, militia commanders, diplomats, and policy experts, painting American television's most comprehensive picture of a feud that has reshaped the Middle East.",2018-02-27
